Date,CO2,CO2_1,CO2_2,CO2_3,CO2_4,target_1,target_2,target_3
1958-09-01,315.05,315.44,315.83,316.29,316.47,316.8,317.29,317.49
1958-09-08,315.44,315.83,316.29,316.47,316.8,317.29,317.49,317.62
1958-09-15,315.83,316.29,316.47,316.8,317.29,317.49,317.62,317.93
1958-09-22,316.29,316.47,316.8,317.29,317.49,317.62,317.93,318.0
1958-09-29,316.47,316.8,317.29,317.49,317.62,317.93,318.0,318.14
1958-10-06,316.8,317.29,317.49,317.62,317.93,318.0,318.14,318.3
1958-10-13,317.29,317.49,317.62,317.93,318.0,318.14,318.3,318.13
1958-10-20,317.49,317.62,317.93,318.0,318.14,318.3,318.13,318.16
1958-10-27,317.62,317.93,318.0,318.14,318.3,318.13,318.16,318.23
1958-11-03,317.93,318.0,318.14,318.3,318.13,318.16,318.23,318.11
1958-11-10,318.0,318.14,318.3,318.13,318.16,318.23,318.11,318.12
1958-11-17,318.14,318.3,318.13,318.16,318.23,318.11,318.12,317.84
1958-11-24,318.3,318.13,318.16,318.23,318.11,318.12,317.84,317.59
1958-12-01,318.13,318.16,318.23,318.11,318.12,317.84,317.59,317.65
1958-12-08,318.16,318.23,318.11,318.12,317.84,317.59,317.65,317.23
1958-12-15,318.23,318.11,318.12,317.84,317.59,317.65,317.23,316.9166666666667
1958-12-22,318.11,318.12,317.84,317.59,317.65,317.23,316.9166666666667,316.60333333333335
1958-12-29,318.12,317.84,317.59,317.65,317.23,316.9166666666667,316.60333333333335,316.29
1959-01-05,317.84,317.59,317.65,317.23,316.9166666666667,316.60333333333335,316.29,316.03
1959-01-12,317.59,317.65,317.23,316.9166666666667,316.60333333333335,316.29,316.03,315.56
1959-01-19,317.65,317.23,316.9166666666667,316.60333333333335,316.29,316.03,315.56,315.38
1959-01-26,317.23,316.9166666666667,316.60333333333335,316.29,316.03,315.56,315.38,314.95
1959-02-02,316.9166666666667,316.60333333333335,316.29,316.03,315.56,315.38,314.95,314.66
1959-02-09,316.60333333333335,316.29,316.03,315.56,315.38,314.95,314.66,314.33
1959-02-16,316.29,316.03,315.56,315.38,314.95,314.66,314.33,314.29
1959-02-23,316.03,315.56,315.38,314.95,314.66,314.33,314.29,313.84
1959-03-02,315.56,315.38,314.95,314.66,314.33,314.29,313.84,313.5
1959-03-09,315.38,314.95,314.66,314.33,314.29,313.84,313.5,313.48
1959-03-16,314.95,314.66,314.33,314.29,313.84,313.5,313.48,313.11
1959-03-23,314.66,314.33,314.29,313.84,313.5,313.48,313.11,313.13
1959-03-30,314.33,314.29,313.84,313.5,313.48,313.11,313.13,312.985
1959-04-06,314.29,313.84,313.5,313.48,313.11,313.13,312.985,312.84
1959-04-13,313.84,313.5,313.48,313.11,313.13,312.985,312.84,312.99
1959-04-20,313.5,313.48,313.11,313.13,312.985,312.84,312.99,313.05
1959-04-27,313.48,313.11,313.13,312.985,312.84,312.99,313.05,313.11
1959-05-04,313.11,313.13,312.985,312.84,312.99,313.05,313.11,313.21
1959-05-11,313.13,312.985,312.84,312.99,313.05,313.11,313.21,313.36
1959-05-18,312.985,312.84,312.99,313.05,313.11,313.21,313.36,313.45
1959-05-25,312.84,312.99,313.05,313.11,313.21,313.36,313.45,313.77
1959-06-01,312.99,313.05,313.11,313.21,313.36,313.45,313.77,314.07
1959-06-08,313.05,313.11,313.21,313.36,313.45,313.77,314.07,314.52
1959-06-15,313.11,313.21,313.36,313.45,313.77,314.07,314.52,314.72
1959-06-22,313.21,313.36,313.45,313.77,314.07,314.52,314.72,314.92
1959-06-29,313.36,313.45,313.77,314.07,314.52,314.72,314.92,315.5
1959-07-06,313.45,313.77,314.07,314.52,314.72,314.92,315.5,315.81
1959-07-13,313.77,314.07,314.52,314.72,314.92,315.5,315.81,316.16
1959-07-20,314.07,314.52,314.72,314.92,315.5,315.81,316.16,316.68
1959-07-27,314.52,314.72,314.92,315.5,315.81,316.16,316.68,317.1
